item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM0001,ORD0370,PROD0413,1,4410.57,36
ITEM0002,ORD0232,PROD0304,3,197.88,29
ITEM0003,ORD0385,PROD0117,5,1558.57,20
ITEM0004,ORD0300,PROD0233,5,3241.2,11
ITEM0005,ORD0129,PROD0459,1,4527.71,6
ITEM0006,ORD0064,PROD0231,5,4859.61,46
ITEM0007,ORD0301,PROD0178,4,1262.33,8
ITEM0008,ORD0202,PROD0192,1,3271.03,43
ITEM0009,ORD0227,PROD0307,3,1962.44,15
ITEM0010,ORD0426,PROD0076,1,2449.56,23
ITEM0011,ORD0342,PROD0422,4,2739.84,46
ITEM0012,ORD0415,PROD0225,5,2632.06,23
ITEM0013,ORD0225,PROD0104,2,3635.49,31
ITEM0014,ORD0361,PROD0153,4,583.21,17
ITEM0015,ORD0255,PROD0122,5,751.75,36
ITEM0016,ORD0083,PROD0220,4,1061.26,13
ITEM0017,ORD0071,PROD0335,2,1351.21,25
ITEM0018,ORD0447,PROD0415,4,3570.66,17
ITEM0019,ORD0056,PROD0110,2,490.61,28
ITEM0020,ORD0174,PROD0310,4,4074.24,17
ITEM0021,ORD0263,PROD0407,3,3745.31,15
ITEM0022,ORD0228,PROD0343,3,381.81,31
ITEM0023,ORD0181,PROD0080,3,3874.02,43
ITEM0024,ORD0201,PROD0357,5,4077.99,0
ITEM0025,ORD0100,PROD0079,4,3467.22,11
ITEM0026,ORD0359,PROD0318,1,2511.41,36
ITEM0027,ORD0367,PROD0371,1,638.22,11
ITEM0028,ORD0356,PROD0133,4,1051.12,31
ITEM0029,ORD0416,PROD0471,5,697.54,12
ITEM0030,ORD0029,PROD0084,3,4369.09,23
ITEM0031,ORD0112,PROD0087,5,3340.06,9
ITEM0032,ORD0303,PROD0034,2,4837.89,13
ITEM0033,ORD0323,PROD0265,1,3726.32,17
ITEM0034,ORD0014,PROD0399,2,2262.55,27
ITEM0035,ORD0069,PROD0330,1,690.04,19
ITEM0036,ORD0331,PROD0484,5,4124.61,35
ITEM0037,ORD0373,PROD0110,1,2579.52,50
ITEM0038,ORD0394,PROD0453,4,2841.93,49
ITEM0039,ORD0042,PROD0117,4,4166.58,31
ITEM0040,ORD0345,PROD0009,1,2023.3,39
ITEM0041,ORD0480,PROD0169,2,3907.73,41
