order_id,customer_id,order_date,status,region_code
ORD0001,CUST0407,2024-10-19 03:26:39,DELIVERED,NORTH
ORD0002,CUST0311,2025-10-23 04:02:16,CANCELLED,NORTH
ORD0003,CUST0283,2025-03-18 12:06:38,RETURNED,WEST
ORD0004,CUST0252,2026-04-07 00:00:00,RETURNED,NORTH
ORD0005,CUST0236,2025-12-23 00:00:00,RETURNED,NORTH
ORD0006,CUST0402,2026-02-14 12:12:50,SHIPPED,SOUTH
ORD0007,CUST0335,2026-06-27 19:16:40,RETURNED,NORTH
ORD0008,CUST0360,2024-11-30 04:50:33,SHIPPED,WEST
ORD0009,CUST0111,2024-12-26 07:33:27,SHIPPED,NORTH
ORD0010,CUST0350,2024-08-26 09:07:41,DELIVERED,NORTH
ORD0011,CUST0028,2024-12-12 07:59:04,SHIPPED,SOUTH
ORD0012,CUST0472,2026-05-09 15:47:32,CANCELLED,WEST
ORD0013,CUST0265,2026-03-31 17:29:18,SHIPPED,WEST
ORD0014,CUST0145,2026-01-07 22:38:13,CANCELLED,SOUTH
ORD0015,CUST0328,2025-07-28 20:36:34,SHIPPED,WEST
ORD0016,CUST0144,2026-01-10 00:35:24,DELIVERED,EAST
ORD0017,CUST0026,2024-10-05 11:31:54,RETURNED,SOUTH
ORD0018,CUST0015,2024-09-05 08:11:02,PLACED,SOUTH
ORD0019,CUST0293,2024-12-26 23:15:41,DELIVERED,NORTH
ORD0020,CUST0471,2026-06-30 00:00:00,SHIPPED,SOUTH
ORD0021,CUST0006,2024-09-11 15:50:10,DELIVERED,SOUTH
ORD0022,CUST0009,2026-02-15 12:31:20,SHIPPED,SOUTH
ORD0023,UNKNOWN,2025-12-04 07:34:17,PLACED,EAST
ORD0024,CUST0183,2025-08-14 22:09:37,DELIVERED,NORTH
ORD0025,CUST0022,2026-06-20 02:41:27,PLACED,NORTH
ORD0026,CUST0400,2025-09-01 09:26:29,SHIPPED,SOUTH
ORD0027,CUST0271,2026-04-17 06:58:30,PLACED,EAST
ORD0028,CUST0465,2025-03-07 10:06:32,DELIVERED,SOUTH
ORD0029,CUST0389,2024-09-11 19:52:29,RETURNED,SOUTH
ORD0030,CUST0152,2024-11-04 07:32:33,CANCELLED,SOUTH
ORD0031,CUST0380,2025-08-11 01:27:38,PLACED,SOUTH
ORD0032,CUST0463,2025-08-30 05:46:07,CANCELLED,NORTH
ORD0033,CUST0290,2026-05-03 01:54:02,RETURNED,EAST
ORD0034,UNKNOWN,2025-07-05 21:45:28,SHIPPED,NORTH
ORD0035,CUST0181,2024-11-02 17:20:37,PLACED,NORTH
ORD0036,CUST0041,2025-03-13 21:47:56,PLACED,NORTH
ORD0037,CUST0280,2024-09-03 17:15:27,CANCELLED,NORTH
ORD0038,CUST0448,2025-11-03 21:41:28,SHIPPED,WEST
ORD0039,CUST0192,2026-04-25 22:38:56,SHIPPED,NORTH
ORD0040,CUST0134,2025-08-24 06:20:44,CANCELLED,EAST
ORD0041,CUST0456,2025-10-21 22:45:32,DELIVERED,WEST
ORD0042,CUST0458,2026-03-02 11:49:59,DELIVERED,NORTH
ORD0043,CUST0092,2025-03-07 07:23:56,PLACED,NORTH
ORD0044,CUST0430,2025-08-09 13:55:38,CANCELLED,EAST
ORD0045,CUST0339,2025-05-30 05:56:00,PLACED,NORTH
ORD0046,CUST0305,2025-01-20 18:20:46,CANCELLED,SOUTH
ORD0047,CUST0319,2025-02-04 07:22:58,CANCELLED,SOUTH
ORD0048,CUST0368,2025-06-01 13:48:47,RETURNED,EAST
ORD0049,UNKNOWN,2025-04-10 01:56:09,CANCELLED,NORTH
ORD0050,CUST0176,2024-11-13 17:00:53,CANCELLED,WEST
ORD0051,CUST0370,2024-09-20 10:39:49,RETURNED,WEST
ORD0052,CUST0263,2026-02-17 22:45:17,RETURNED,EAST
ORD0053,CUST0222,2025-03-29 23:13:21,RETURNED,EAST
ORD0054,CUST0235,2025-11-09 10:42:37,PLACED,SOUTH
ORD0055,CUST0403,2025-12-26 22:10:53,DELIVERED,EAST
ORD0056,CUST0294,2025-06-01 06:33:49,DELIVERED,EAST
ORD0057,CUST0414,2026-01-20 03:00:56,CANCELLED,EAST
ORD0058,UNKNOWN,2025-04-26 08:02:27,DELIVERED,WEST
ORD0059,CUST0371,2025-05-29 15:50:30,RETURNED,EAST
ORD0060,CUST0084,2025-10-04 01:52:21,CANCELLED,SOUTH
ORD0061,CUST0424,2026-03-21 14:55:09,DELIVERED,SOUTH
ORD0062,CUST0471,2025-04-06 02:01:42,SHIPPED,SOUTH
ORD0063,CUST0447,2025-12-04 10:10:18,PLACED,NORTH
ORD0064,CUST0371,2026-02-17 23:07:50,CANCELLED,NORTH
ORD0065,CUST0163,2025-08-23 13:25:19,SHIPPED,EAST
ORD0066,CUST0486,2026-07-10 14:51:10,PLACED,SOUTH
ORD0067,CUST0059,2025-02-10 23:31:32,SHIPPED,SOUTH
ORD0068,CUST0445,2025-06-21 08:56:43,DELIVERED,WEST
ORD0069,CUST0196,2026-05-15 02:11:17,DELIVERED,SOUTH
ORD0070,CUST0239,2026-02-26 05:28:24,RETURNED,EAST
ORD0071,CUST0083,2026-05-18 11:17:39,CANCELLED,WEST
ORD0072,CUST0089,2025-07-22 08:36:52,PLACED,WEST
ORD0073,CUST0176,2026-04-29 17:31:33,SHIPPED,SOUTH
ORD0074,CUST0406,2026-06-26 05:59:03,PLACED,WEST
ORD0075,CUST0306,2026-02-08 18:10:32,SHIPPED,WEST
ORD0076,CUST0002,2025-08-21 06:22:48,DELIVERED,EAST
ORD0077,CUST0082,2024-10-28 14:14:44,DELIVERED,WEST
ORD0078,CUST0379,2026-01-16 21:46:21,SHIPPED,SOUTH
ORD0079,CUST0153,2025-05-19 04:56:24,PLACED,WEST
ORD0080,CUST0066,2025-02-09 07:07:31,CANCELLED,EAST
ORD0081,CUST0027,2024-11-02 07:34:10,CANCELLED,EAST
ORD0082,CUST0296,2024-08-16 02:12:03,CANCELLED,WEST
ORD0083,CUST0131,2024-08-24 12:58:20,SHIPPED,WEST
ORD0084,UNKNOWN,2025-08-14 09:22:44,CANCELLED,SOUTH
ORD0085,CUST0350,2026-01-26 08:54:32,CANCELLED,NORTH
ORD0086,CUST0017,2026-06-21 17:47:23,DELIVERED,NORTH
ORD0087,CUST0446,2025-08-16 04:57:10,DELIVERED,EAST
ORD0088,CUST0149,2025-01-21 09:08:10,SHIPPED,NORTH
ORD0089,CUST0200,2024-11-08 23:15:47,RETURNED,NORTH
ORD0090,CUST0265,2025-01-21 20:18:43,SHIPPED,WEST
ORD0091,CUST0488,2025-01-20 18:13:11,PLACED,WEST
ORD0092,CUST0120,2025-04-30 04:19:22,SHIPPED,EAST
ORD0093,CUST0306,2025-09-26 08:41:23,CANCELLED,NORTH
ORD0094,CUST0037,2025-05-07 02:08:14,DELIVERED,NORTH
ORD0095,CUST0488,2025-03-11 10:12:36,DELIVERED,EAST
ORD0096,CUST0001,2024-08-29 04:04:33,SHIPPED,EAST
ORD0097,CUST0239,2025-08-02 08:13:17,CANCELLED,SOUTH
ORD0098,CUST0061,2025-06-11 08:34:02,PLACED,NORTH
ORD0099,CUST0014,2024-12-07 05:44:04,SHIPPED,SOUTH
ORD0100,CUST0328,2026-01-26 03:55:52,CANCELLED,NORTH
ORD0101,CUST0210,2025-02-24 14:39:41,SHIPPED,NORTH
ORD0102,CUST0013,2025-12-31 19:01:52,CANCELLED,EAST
ORD0103,CUST0149,2025-10-25 05:54:27,SHIPPED,EAST
ORD0104,CUST0345,2026-07-18 16:55:57,DELIVERED,SOUTH
ORD0105,CUST0328,2026-07-31 09:24:23,CANCELLED,NORTH
ORD0106,CUST0099,2025-08-30 16:18:28,RETURNED,EAST
ORD0107,CUST0391,2025-05-29 03:30:11,PLACED,NORTH
ORD0108,CUST0335,2025-11-26 00:00:00,DELIVERED,EAST
ORD0109,CUST0006,2026-08-03 12:56:33,SHIPPED,EAST
ORD0110,CUST0420,2025-12-02 15:47:45,CANCELLED,WEST
ORD0111,CUST0281,2025-04-09 14:00:39,DELIVERED,SOUTH
ORD0112,CUST0023,2025-11-26 19:43:15,SHIPPED,WEST
ORD0113,CUST0099,2025-10-10 20:57:18,PLACED,NORTH
ORD0114,CUST0213,2025-01-20 04:16:21,SHIPPED,WEST
ORD0115,CUST0317,2025-11-03 15:21:37,DELIVERED,SOUTH
ORD0116,CUST0064,2025-12-07 10:25:57,RETURNED,NORTH
ORD0117,CUST0335,2025-01-20 12:43:22,PLACED,EAST
ORD0118,CUST0183,2026-08-07 04:58:25,DELIVERED,NORTH
ORD0119,CUST0366,2024-11-13 03:48:47,SHIPPED,EAST
ORD0120,CUST0355,2024-08-11 00:08:44,PLACED,SOUTH
ORD0121,CUST0416,2025-12-03 18:40:12,RETURNED,NORTH
ORD0122,CUST0034,2025-01-29 23:39:36,PLACED,EAST
ORD0123,CUST0307,2025-02-19 13:00:38,DELIVERED,NORTH
ORD0124,CUST0265,2025-04-07 20:35:26,CANCELLED,SOUTH
ORD0125,CUST0170,2026-03-16 20:36:43,CANCELLED,SOUTH
ORD0126,CUST0131,2025-04-17 13:13:33,CANCELLED,NORTH
ORD0127,CUST0162,2025-11-12 17:55:49,PLACED,EAST
ORD0128,CUST0251,2026-04-18 05:44:30,CANCELLED,SOUTH
ORD0129,CUST0136,2025-07-25 17:26:45,CANCELLED,SOUTH
ORD0130,CUST0421,2025-05-27 05:15:46,RETURNED,SOUTH
ORD0131,UNKNOWN,2025-01-15 13:58:54,DELIVERED,SOUTH
ORD0132,CUST0069,2026-08-06 23:33:54,RETURNED,SOUTH
ORD0133,CUST0479,2025-10-16 15:31:13,SHIPPED,SOUTH
ORD0134,CUST0034,2025-07-06 06:51:32,CANCELLED,EAST
ORD0135,CUST0253,2024-12-25 00:42:46,DELIVERED,NORTH
ORD0136,CUST0434,2026-03-14 13:46:53,SHIPPED,SOUTH
ORD0137,CUST0123,2024-11-06 23:43:58,CANCELLED,EAST
ORD0138,CUST0460,2025-08-16 16:40:40,CANCELLED,WEST
ORD0139,CUST0485,2024-08-18 20:55:59,RETURNED,NORTH
ORD0140,CUST0316,2024-08-21 08:48:02,SHIPPED,WEST
ORD0141,CUST0461,2025-03-02 02:46:37,SHIPPED,SOUTH
ORD0142,CUST0015,2025-07-01 06:06:11,RETURNED,EAST
ORD0143,CUST0126,2026-07-01 01:59:12,SHIPPED,NORTH
ORD0144,CUST0366,2025-08-11 20:47:22,CANCELLED,EAST
ORD0145,CUST0177,2025-06-29 16:02:12,SHIPPED,WEST
ORD0146,CUST0359,2025-03-29 16:00:22,RETURNED,WEST
ORD0147,CUST0065,2024-09-30 06:49:55,PLACED,SOUTH
ORD0148,CUST0367,2025-02-03 13:00:17,RETURNED,NORTH
ORD0149,CUST0180,2024-09-25 14:37:25,SHIPPED,NORTH
ORD0150,CUST0229,2025-07-12 00:19:48,RETURNED,NORTH
ORD0151,CUST0315,2024-10-04 19:13:00,SHIPPED,NORTH
ORD0152,CUST0441,2026-04-24 22:10:12,PLACED,NORTH
ORD0153,UNKNOWN,2024-09-22 12:50:22,DELIVERED,NORTH
ORD0154,CUST0148,2026-01-08 08:58:26,DELIVERED,WEST
ORD0155,CUST0494,2026-05-27 18:27:00,SHIPPED,NORTH
ORD0156,UNKNOWN,2026-03-31 11:25:16,PLACED,NORTH
ORD0157,CUST0342,2026-03-05 22:52:18,CANCELLED,SOUTH
ORD0158,CUST0006,2024-12-17 15:35:51,DELIVERED,SOUTH
ORD0159,CUST0497,2025-11-04 20:52:46,RETURNED,WEST
ORD0160,UNKNOWN,2026-06-10 16:39:02,DELIVERED,EAST
ORD0161,CUST0075,2024-12-29 01:04:29,RETURNED,WEST
ORD0162,CUST0277,2025-02-05 06:58:10,RETURNED,WEST
ORD0163,CUST0233,2025-09-01 00:00:00,CANCELLED,WEST
ORD0164,CUST0423,2025-04-08 16:25:24,RETURNED,WEST
ORD0165,CUST0433,2025-01-10 18:33:40,DELIVERED,EAST
ORD0166,CUST0031,2025-05-16 00:00:00,SHIPPED,SOUTH
ORD0167,CUST0271,2025-04-13 10:49:27,DELIVERED,SOUTH
ORD0168,CUST0276,2026-01-31 15:30:58,PLACED,NORTH
ORD0169,CUST0418,2025-11-08 10:08:15,CANCELLED,EAST
ORD0170,CUST0047,2026-05-11 07:29:35,DELIVERED,EAST
ORD0171,CUST0340,2025-12-17 10:46:50,PLACED,EAST
ORD0172,CUST0448,2025-02-16 13:25:34,RETURNED,EAST
ORD0173,CUST0164,2024-08-09 19:28:15,CANCELLED,WEST
ORD0174,CUST0153,2024-12-27 14:32:42,CANCELLED,EAST
ORD0175,CUST0271,2025-03-11 01:36:03,RETURNED,WEST
ORD0176,CUST0439,2024-11-11 15:06:19,DELIVERED,SOUTH
ORD0177,CUST0156,2025-10-15 23:47:07,DELIVERED,WEST
ORD0178,CUST0159,2024-10-23 05:57:44,CANCELLED,WEST
ORD0179,CUST0235,2025-09-01 07:30:52,PLACED,SOUTH
ORD0180,CUST0051,2024-11-03 22:06:07,DELIVERED,EAST
ORD0181,CUST0121,2025-03-15 20:13:12,PLACED,NORTH
ORD0182,CUST0304,2025-02-19 14:53:30,DELIVERED,SOUTH
ORD0183,CUST0119,2025-05-08 16:46:48,SHIPPED,NORTH
ORD0184,CUST0194,2026-05-22 06:49:15,RETURNED,NORTH
ORD0185,CUST0013,2026-03-18 07:16:49,RETURNED,WEST
ORD0186,CUST0499,2026-02-20 10:40:58,RETURNED,WEST
ORD0187,CUST0043,2024-08-08 08:28:34,SHIPPED,NORTH
ORD0188,CUST0500,2024-10-09 20:28:30,SHIPPED,SOUTH
ORD0189,CUST0264,2025-10-19 17:13:37,PLACED,WEST
ORD0190,CUST0244,2025-07-16 19:34:41,RETURNED,EAST
ORD0191,CUST0139,2026-03-29 10:05:25,DELIVERED,NORTH
ORD0192,CUST0258,2025-01-19 00:45:29,RETURNED,WEST
ORD0193,CUST0078,2026-04-11 06:27:49,PLACED,WEST
ORD0194,CUST0240,2025-08-22 02:51:58,CANCELLED,SOUTH
ORD0195,CUST0215,2025-08-24 12:54:14,SHIPPED,WEST
ORD0196,CUST0273,2024-11-26 10:17:57,DELIVERED,EAST
