product_id,product_name,category,subcategory,cost_price
PROD0001,Shirt,Clothing,Clothing Items,1818.86
PROD0002,Chair,Home,Home Items,1248.4
PROD0003,Hoodie,Clothing,Clothing Items,2208.32
PROD0004,Sofa,Home,Home Items,1106.18
PROD0005,Bluetooth Speaker,Electronics,Electronics Items,4005.32
PROD0006,Mobile Phone,Electronics,Electronics Items,1508.77
PROD0007,Chair,Home,Home Items,4124.76
PROD0008,Python Basics,Books,Books Items,1493.28
PROD0009,Jeans,Clothing,Clothing Items,1880.52
PROD0010,Bed,Home,Home Items,3489.14
PROD0011,Shirt,Clothing,Clothing Items,1507.62
PROD0012,Python Basics,Books,Books Items,1490.39
PROD0013,T-Shirt,Clothing,Clothing Items,3846.66
PROD0014,Smart Watch,Electronics,Electronics Items,1944.81
PROD0015,Sql Guide,Books,Books Items,4633.04
PROD0016,Chair,Home,Home Items,2538.67
PROD0017,Sofa,Home,Home Items,4724.49
PROD0018,Jeans,Clothing,Clothing Items,2956.42
PROD0019,Bluetooth Speaker,Electronics,Electronics Items,4985.51
PROD0020,Bed,Home,Home Items,3446.84
PROD0021,Machine Learning,Books,Books Items,644.38
PROD0022,Sofa,Home,Home Items,2369.82
PROD0023,Jeans,Clothing,Clothing Items,2116.15
PROD0024,Bluetooth Speaker,Electronics,Electronics Items,3320.42
PROD0025,Laptop,Electronics,Electronics Items,1846.84
PROD0026,Bluetooth Speaker,Electronics,Electronics Items,2114.7
PROD0027,Lamp,Home,Home Items,205.56
PROD0028,Sql Guide,Books,Books Items,3255.4
PROD0029,Jeans,Clothing,Clothing Items,1785.37
PROD0030,Sql Guide,Books,Books Items,3587.7
PROD0031,Laptop,Electronics,Electronics Items,1841.91
PROD0032,Laptop,Electronics,Electronics Items,736.31
PROD0033,Shirt,Clothing,Clothing Items,4901.12
PROD0034,Sql Guide,Books,Books Items,2747.84
PROD0035,Lamp,Home,Home Items,1538.07
PROD0036,Data Science,Books,Books Items,2508.8
PROD0037,Sofa,Home,Home Items,2668.97
PROD0038,Machine Learning,Books,Books Items,2398.01
PROD0039,Lamp,Home,Home Items,3416.42
PROD0040,Python Basics,Books,Books Items,4650.08
PROD0041,Mobile Phone,Electronics,Electronics Items,4590.32
PROD0042,Laptop,Electronics,Electronics Items,478.78
PROD0043,T-Shirt,Clothing,Clothing Items,1747.8
PROD0044,T-Shirt,Clothing,Clothing Items,3358.5
PROD0045,Jeans,Clothing,Clothing Items,834.32
PROD0046,Dining Table,Home,Home Items,4047.17
PROD0047,Sofa,Home,Home Items,290.8
PROD0048,Data Science,Books,Books Items,4283.16
PROD0049,Laptop,Electronics,Electronics Items,4742.52
PROD0050,T-Shirt,Clothing,Clothing Items,3396.98
PROD0051,Sofa,Home,Home Items,1835.86
PROD0052,Laptop,Electronics,Electronics Items,1320.87
PROD0053,Chair,Home,Home Items,2507.79
PROD0054,Jacket,Clothing,Clothing Items,787.23
PROD0055,Jacket,Clothing,Clothing Items,3826.84
PROD0056,Headphones,Electronics,Electronics Items,1708.6
PROD0057,Python Basics,Books,Books Items,2755.1
PROD0058,Shirt,Clothing,Clothing Items,1189.82
PROD0059,Shirt,Clothing,Clothing Items,860.7
PROD0060,Shirt,Clothing,Clothing Items,2376.18
PROD0061,Laptop,Electronics,Electronics Items,3732.9
PROD0062,Shirt,Clothing,Clothing Items,3463.62
PROD0063,Smart Watch,Electronics,Electronics Items,150.7
PROD0064,Sofa,Home,Home Items,2396.04
PROD0065,Jacket,Clothing,Clothing Items,4458.0
PROD0066,T-Shirt,Clothing,Clothing Items,4598.8
PROD0067,T-Shirt,Clothing,Clothing Items,3268.31
PROD0068,Jeans,Clothing,Clothing Items,2960.1
PROD0069,Hoodie,Clothing,Clothing Items,2431.87
PROD0070,Sofa,Home,Home Items,3427.3
PROD0071,Jacket,Clothing,Clothing Items,745.64
PROD0072,Shirt,Clothing,Clothing Items,4083.83
PROD0073,Bluetooth Speaker,Electronics,Electronics Items,4097.27
PROD0074,Mobile Phone,Electronics,Electronics Items,1314.48
PROD0075,Smart Watch,Electronics,Electronics Items,3638.48
PROD0076,T-Shirt,Clothing,Clothing Items,4559.7
